subject,block_type,block,trial, left_person,left_person_fruit,left_person_wear, right_person,right_person_fruit,right_person_wear, ch_person,ch_fruit,ch_wear,keypress1, rt1, exp_value_ch_fruit, reward_fruit, exp_value_ch_wear, reward_wear, keypress2, rt2, keypress3, rt3,first_product,second_product, fruit_location,exp_value_fruit1,exp_value_fruit2,wear_location,exp_value_wear1,exp_value_wear2,iti
999.000000,train,1.000000,1.000000, 3.000000,2.000000,1.000000 ,2.000000,2.000000,2.000000 ,2.000000,2.000000,2.000000 ,k,1104.513700 ,0.298478,0.000000,0.773353,1.000000 ,s,656.426700,k,461.227000 ,fruit,wear,left ,0.716970,0.298478,right ,0.235311,0.773353,1.000000
999.000000,train,1.000000,2.000000, 1.000000,1.000000,1.000000 ,3.000000,2.000000,1.000000 ,nan,nan,nan ,nan,nan ,nan,nan,nan,nan ,nan,nan,nan,nan ,nan,nan,nan ,0.712612,0.306958,nan ,0.231944,0.759817,1.000000
999.000000,train,1.000000,3.000000, 4.000000,1.000000,2.000000 ,1.000000,1.000000,1.000000 ,nan,nan,nan ,nan,nan ,nan,nan,nan,nan ,nan,nan,nan,nan ,nan,nan,nan ,0.710691,0.322325,nan ,0.244752,0.753884,1.000000
999.000000,train,1.000000,4.000000, 1.000000,1.000000,1.000000 ,3.000000,2.000000,1.000000 ,1.000000,1.000000,1.000000 ,s,401.242500 ,nan,nan,0.201177,0.000000 ,k,466.887300,nan,nan ,wear,fruit,right ,0.706534,0.343750,right ,0.201177,0.742800,1.000000
999.000000,train,1.000000,5.000000, 3.000000,2.000000,1.000000 ,1.000000,1.000000,1.000000 ,1.000000,1.000000,1.000000 ,k,558.031600 ,0.696867,1.000000,0.203563,0.000000 ,s,2070.838300,s,431.860700 ,fruit,wear,left ,0.696867,0.373877,left ,0.203563,0.733452,1.000000
999.000000,train,1.000000,6.000000, 4.000000,1.000000,2.000000 ,1.000000,1.000000,1.000000 ,1.000000,1.000000,1.000000 ,k,647.657000 ,0.695633,0.000000,0.203286,0.000000 ,s,675.136600,s,510.979700 ,wear,fruit,left ,0.695633,0.367385,left ,0.203286,0.733037,1.000000
999.000000,train,1.000000,7.000000, 2.000000,2.000000,2.000000 ,4.000000,1.000000,2.000000 ,4.000000,1.000000,2.000000 ,k,836.818100 ,0.680962,1.000000,0.723755,1.000000 ,s,629.969500,s,492.320400 ,wear,fruit,left ,0.680962,0.373012,left ,0.205511,0.723755,1.000000
999.000000,train,1.000000,8.000000, 3.000000,2.000000,1.000000 ,2.000000,2.000000,2.000000 ,2.000000,2.000000,2.000000 ,k,923.713000 ,0.412021,1.000000,0.751852,1.000000 ,k,758.368600,k,640.086500 ,fruit,wear,right ,0.701468,0.412021,right ,0.220842,0.751852,1.000000
999.000000,train,1.000000,9.000000, 1.000000,1.000000,1.000000 ,3.000000,2.000000,1.000000 ,1.000000,1.000000,1.000000 ,s,800.021600 ,0.686097,1.000000,0.213502,0.000000 ,k,453.297900,s,550.727300 ,fruit,wear,right ,0.686097,0.407009,left ,0.213502,0.769720,1.000000
999.000000,train,1.000000,10.000000, 2.000000,2.000000,2.000000 ,3.000000,2.000000,1.000000 ,3.000000,2.000000,1.000000 ,k,797.265000 ,0.417641,0.000000,0.189942,0.000000 ,k,277.532300,s,382.917100 ,fruit,wear,right ,0.673401,0.417641,left ,0.189942,0.760904,1.000000
